异想体收集  The Illustrated of the abnormalities

%侵蚀单位 @异常单位 #次级衍生单位 `扭曲 $大罪生物 ~考验 =形态

O-00-00 教学兔兔[Dummy]
F-01-02 焦化少女
O-03-03 一罪与百善
O-01-04 魔法少女/憎恶女王
O-09-05 脑叶公司设定集(韩文)
?#O-09-05-ENGLISH 脑叶公司设定集英文版
?#O-09-05-JAPANNESE 脑叶公司设定集日文版
?#O-09-05-ENGLISH 脑叶公司设定集英文版
?#O-09-05-CHINESE 脑叶公司设定集简体中文版
T-04-06 快乐泰迪
@T-04-16-02 痛苦泰迪
O-04-08 红舞鞋
T-09-09 特蕾西娅
O-01-12 老妇人
O-01-15 无名怪婴
F-01-18 面壁女
O-06-20 一无所有
%O-06-20-TE 向前逼近的异端审判官&无所不有的异端审判官
T-06-27 1.76兆赫
O-05-30 歌唱机
T-01-31 沉默乐团
F-05-32 热心的樵夫
F--01-37 冰雪女王
O-02-40 大鸟
T-05-41 小帮手
F-04-42 白雪公主的苹果
@F-04-03-04 黑檀女王的苹果
T-02-43 蜘蛛巢
F-02-44 美女和野兽
O-01-45 疫医
T-03-46 白夜
#?-??-?? （使徒）（共十二个，type：镰刀使徒 长枪使徒 权杖使徒 护卫使徒 卖主的叛徒）
O-05-47 别碰我
F-02-49 雪橇鲁道夫
T-04-50 蜂后
#?-??-?? 工蜂
T-05-51 血浴缸
F-05-52 韦尔奇乐牌汽水
T-04-53 爱娜温
T-01-54 被遗弃的杀人魔
O-01-55 银河之子
O-02-56 小鸟/惩戒鸟
O-01-57 小红帽雇佣兵
F-02-58 又大又可能很坏的狼
O-03-60 宇宙碎片
O-05-61 破裂盔甲
#O-05-61-1 内在勇气&匹夫之勇
O-02-62 审判鸟
O-02-63 终末鸟/天启鸟
O-01-64 贪婪女王
O-04-66 小王子
#O-04-66-1 小王子-1（被感染员工）
O-01-67 蕾蒂希娅
?#O-01-67-1 （持有爱心的员工）
#？-？？-？？ 小女孩的朋友
T-01-68 亡蝶葬仪
F-01-69 魔弹射手
@F-01-16-13 凶弹射手
F-02-70 黑天鹅之梦
#F-02-70-1 ”哥哥“
#F-02-70-2 ”哥哥“
#F-02-70-3 ”哥哥“
#F-02-70-4 ”哥哥“
#F-02-70-5 ”哥哥“
T-02-71 梦中的洋流
O-04-74 穿刺乐园/渗透天堂
O-01-73 绝望骑士
#O-01-73-1 （持有徽章的员工） 
O-02-74 裸巢
#O-02-74-1 （被感染的员工）
T-01-75 微笑的尸山
O-05-77 幸灾乐祸
T-09-77 渴望之心
?#T-09-77-1 (持有渴望之心的员工）
T-09-78 癫狂研究院的笔记本
?#T-09-78 （持有癫狂研究院的笔记本的员工）
T-09-79 血肉偶像
?#T-09-79-1 （使用血肉偶像的员工）
T-09-80 巨树汁液
?#T-09-80 (使用巨树汁液的员工)
O-09-81 转性魔镜
?#O-09-81 (使用转性魔镜的员工)
T-09-82 3月27日的避难所
?#T-09-82 （使用3月27日的避难所的员工）
F-04-83 精灵盛宴
O-04-84 陆生鮟鱇
T-09-85 我们可以改变一切
?#T-09-85-1 (使用我们可以改变一切的员工)
T-09-86 黄泉列车
?#T-09-86 （使用黄泉列车的员工）
F-01-87 索求智慧的稻草人
O-03-88 次元衍射变体
O-03-89 [CEDSORED]
?#O-03-89-1 小型[CEDSORED]
T-09-90 人皮启示录
?#T-09-90 （使用人皮启示录的员工）
O-09-91 异世的肖像
?#O-09-91-A (使用人皮启示录的员工)
?#O-09-91-B（被标记员工承受伤害的员工）
?#O-09-91-C (因O-09-91-B的死亡成为新的承受伤害之员工)
O-01-92 今天也很害羞                                                             *笔记-114514  今天也很害羞呢。。。你个傻逼是他妈的在偷窥我吗
?#O-01-92-1 狂喜的今天也很害羞                                           *进入“世界之翼”
?#O-01-92-2 愉悦的今天也很害羞                                           *居住在“巢”中
?#O-01-92-3 无感的今天也很害羞                                           *？
?#O-01-92-4 悲哀的今天也很害羞                                           *ouo？“后巷”的居民
?#O-01-92-1 暴怒的今天也很害羞                                           *被流放到“郊区”
O-03-93 碧蓝新星
T-09-94 你必须要幸福                                                              *这家公司的产品没有一个差评！买回来替代我们医院的医生，那成本不就降下来了吗(后来这家医院死亡率提升为70%)
?#T-09-94-1 (使用你必须要幸福的员工）
